resource_name,asset_name,file_size,title,subject,description,contributor,period_date,digital_format,url_for_file,geo_coord_UTM,verified_gps_coords,resource_number,year,geo_coord_original,paper_page_number,Index Number,Volume,Title,Notes,description2,address
00000534.pdf,"Cherry Festival Parade, 1909",266.71 KB,"Cherry Festival Parade, 1909",,"Chumalia and Haas, on E. 14th St. View is looking south from what had been the city limits the year before. Note that the line is turning on the bridge. June 5, 1909.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5668/0,,,,1909,,,00534,Vol. 14,"Cherry Festival Parade, 1909",,,
00000535.pdf,"Federighi's Blacksmith Shop, 1906",346.91 KB,"Federighi's Blacksmith Shop, 1906",,"Fred Federighi, Sr., Monte Federighi, Charlie Grazzini, ""Pongi"" Toti.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5669/0,,,,1906,,,00535,Vol. 14,"Federight's Blacksmith Shop, 1906",,"Federight's Blacksmith Shop, 1906",
00000536.pdf,"Cherry Festival, 1909",262.57 KB,"Cherry Festival, 1909",,E. 14th St. between Chumalia and Haas.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5670/0,,,536,1909,10D724,34,00536,Vol. 14,"Cherry Festival, 1909",,,
00000537.pdf,"Cherry Carnival Float, 1909",352.38 KB,"Cherry Carnival Float, 1909",,"Clarke St. between Davis and Ward. Paul Leal, John Miller.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5671/0,,,537,1909,14D624,33,00537,Vol. 14,"Cherry Carnival Float, 1909",,,
00000538.pdf,"Thomas B. Morgan Store, 1908",368.20 KB,"Thomas B. Morgan Store, 1908",,"Frank Gonsalves, behind counter. James Fergeson, salesman. This grocery store, probably known as Morgan Bros., is a good example of merchandising in earlier days, with the barrels for pickles and olives, the stacked cans on shelves behind a glassed in counter and the produce department in orange crates.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5672/0,,,,1908,,,00538,Vol. 14,"Thomas B. Morgan Store, 1908",,,
00000539.pdf,"San Leandro High School, 1926",618.41 KB,"San Leandro High School, 1926",,"Bancroft and Estudillo. This building later became Bancroft Junior High School, and was replaced by the present building in 1954.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5673/0,,,539,1926,20E223,11,00539,Vol. 14,"San Leandro High School, 1926",,,
00000540.pdf,"Mr. and Mrs. Manuel Victor and Family, 1902",316.44 KB,"Mr. and Mrs. Manuel Victor and Family, 1902",,"Dutton Ave., formerly known as Chicken Lane.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5674/0,,,,1902,,,00540,Vol. 14,"Mr. & Mrs. Manuel Victor & Family, 1902",,"Mr. & Mrs. Manuel Victor & Family, 1902",
00000541.pdf,"Packard 3 1/2 Ton Truck, 1919",416.09 KB,"Packard 3 1/2 Ton Truck, 1919",,"Washington Ave. Manuel Cunha, Joe Cunha, Sam Rose, Sam Cunha, Al Lawrence, Driver Bill Thomas.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5675/0,,,,1919,,,00541,Vol. 14,"Packard 3 1/2 Ton Truck, 1919",,,
00000542.pdf,"Ury Brothers and Friends, 1881",363.28 KB,"Ury Brothers and Friends, 1881",,"Taken in the San Leandro Bay Area (now Marina Faire) after a hunting trip, probably between 1910 and 1936.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5676/0,,,,1936,,,00542,Vol. 14,"Ury Brothers and Friends, 1881",,,
00000543.pdf,Larson and His Crew,595.58 KB,Larson and His Crew,,Shows the interior of Best Manufacturing Co. and the blacksmithing crew.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5677/0,,,,,,,00543,Vol. 14,Larson and His Crew (Best Mfg. Co.) 1906,,Larson and His Crew (Best Mfg. Co.) 1906,
00000544.pdf,"7th Grade, Lincoln School, 1923",345.00 KB,"7th Grade, Lincoln School, 1923",,"Top row: Alfred Davena, Leroy Bowen, Louis Silva, Cecil Lincoln, Everett Brewer, Fredrick Platt, Clarence Goodeill, Lester Brown. Second row: Elmo Lytell, Freida -, Dannetta Baxley, Bruna Martinelli, Constance Gonzales, Lawrence Dangerfield, Harold Retzloff, Carlo Vecchiarelli, Lawrence Nunes. Third row: Adele Ends, Laverne Vargas, Helen Pike, Grace Johannsen, Louise Mendonca, Lois Pelton, Anita Pardini, Evelyn Dutra, Virginia Arbini. Fourth row: William Wagner, Alfred Xavier, Eugene Gomes, Remo Bartolini, Robert Leard.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5678/0,,,,1923,,,00544,Vol. 14,"7th Grade, Lincoln School, 1923",,,
00000545.pdf,"Union School, 1894",291.41 KB,"Union School, 1894",,"Union School, 1894.",Polvorosa,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5679/0,,,,1894,,,00545,Vol. 14,"Union School, 1894",,,
00000546.pdf,"Union School, 1894",348.64 KB,"Union School, 1894",,"Principal William Langdon, Teacher Lottie Gleasen. Manuel Miller, Ferdinand Budd Eber, John Marshall, Joe Gelispi, Tony Dutra, Manuel Frates, Sam Rogers, Edward Peralta, Walter Fulton, Rosco Warren, Minnie Rose, Salina Peralta, Lena Vager, Louisa Miller, Fannie Roberts, Budie Driser, Harry West, Joe Augusta, William Duarte, Henry Borman, Ed Burnett, Tony Joseph, Bill Tasto, Dick Mendonca, Tony Williams.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5680/0,,,,1894,,,00546,Vol. 14,"Union School, 1894",,,
00000547.pdf,"Memorial Services for Pres. McKinley, Sept. 19, 1901",287.36 KB,"Memorial Services for Pres. McKinley, Sept. 19, 1901",,Lincoln School.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5681/0,,,,1901,,,00547,Vol. 14,"Memorial Services for Pres. McKinley, Sept. 19, 1901",,,
00000548.pdf,"Best Manufacturing Company, 1906",273.01 KB,"Best Manufacturing Company, 1906",,"Davis Street. Standing far left, Clarence Leo Best. Second row from back: 8th from right, Mr. Harding; 12th from right, Bill Burnett; 13th from right, Arthur Larsen, Sr. (Bat's father); Third row from back, 5th from right, Otto Best; far left, Zacharia Best; 4th row from back, 5th from right, Dick Richards.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5682/0,,,548,1906,12D326,26,00548,Vol. 14,"Best Manufacturing Company, 1906",,,
00000549.pdf,"San Leandro Fire Dept., 1934",278.67 KB,"San Leandro Fire Dept., 1934",,"Top: M. Agrella, J. Amaral, F. Cannizzaro sitting on truck; Ed Frates, Archie Souza. Bottom: B.X. Whitaker, Tom Stevenson, Second Chief M. Matoza, R. Carrillo, F. Matoza, First Chief Hugo Fanucchi, Louis Dutra, Ed Harsch, L.R. Martin.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5683/0,,,,1934,,,00549,Vol. 14,"San Leandro Fire Dept., 1934",,,
00000550.pdf,"San Leandro Delivery Wagon, 1907",447.67 KB,"San Leandro Delivery Wagon, 1907",,"Corner of Oakes and E. 14th St. Manuel Andrade, Post Master; Frank Gonsalves, driver; Joseph Oakes, standing. Oakes was also a driver. This corner was the later location of San Leandro Hardware.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5684/0,,,550,1907,10D621,36,00550,Vol. 14,"San Leandro Delivery Wagon, 1907",,,
00000551.pdf,"Wallace's Newsstand, 1915",286.09 KB,"Wallace's Newsstand, 1915",,"Davis St. Reggie Wallace, ""Sea Cap"" Christensen, Mrs. Wallace, Mr. Wallage, Leah Erickson, Georgie West. Miss Erickson was the granddaughter of Divid Ury.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5685/0,,,,1915,,,00551,Vol. 14,"Wallace's Newstand, 1915",,"Wallace's Newstand, 1915",
00000552.pdf,"Polvorosa Boys, 1923",247.28 KB,"Polvorosa Boys, 1923",,"141 Dabner St. Frank Polvorosa, Julian Polvorosa, Sr., Tony Polvorosa.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5686/0,,"[-122.167797,37.723329]",552,1923,26D226,16,00552,Vol. 14,"Polvorosa Boys, 1923",,,141 Dabner St
00000553.pdf,"Employees of C. L. Best Foundry, 1920",307.96 KB,"Employees of C. L. Best Foundry, 1920",,"Eddie Miller, ""Derby"", Bill Mathews.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5687/0,,,553,1920,92C717,31,00553,Vol. 14,"Employees of C. L. Best Foundry, 1920",,,
00000554.pdf,"Daniel Best Steam Tractor Engines, 1895",448.35 KB,"Daniel Best Steam Tractor Engines, 1895",,"On top, Mrs. Budd Eber, Joseph Garner. This tractor was being used at Fulda, Placer Co., California, for a lumber hauling job. Picture was made before Anna Lundgren became Mrs. Budd Eber. The man on the ground was the fireman, identity unknown.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5688/0,,,,1895,,,00554,Vol. 14,"Daniel Best Steam Tractor Engines, 1895",,,
00000555.pdf,"Ladies Drill Team, 1909",335.93 KB,"Ladies Drill Team, 1909",,Cherry Festival.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5689/0,,,,1909,,,00555,Vol. 14,"Ladies Drill Team, 1909",,,
00000556.pdf,"Charles Rantzau's Cherry Orchard, 1900",421.92 KB,"Charles Rantzau's Cherry Orchard, 1900",,"Davis St. across from Thrasher Park. Charles Rantzau, Jack Thomas, Mr. King.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5690/0,,,556,1900,12D426,32,00556,Vol. 14,"Charles Rantzau's Cherry Orchard, 1900",,,
00000557.pdf,Lake Chabot,282.91 KB,Lake Chabot,,Lake Chabot.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5691/0,,,557,1932,16F920,6,00557,Vol. 14,Lake Chabot,,,
00000558.pdf,"Old Presbyterian Church, 1928",286.57 KB,"Old Presbyterian Church, 1928",,"W. Joaquin and Clarke. Rev. Drew. This was the third church to be built in San Leandro, dating from 1867. The north wing is still standing at the original site (Hepburn facing Clarke) although the main building was moved to Ashland sometime after 1928.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5692/0,,,,1928,,,00558,Vol. 14,"Old Presbyterian Church, 1928",,,
00000559.pdf,"Cherry Festival, 1909",435.06 KB,"Cherry Festival, 1909",,"E. 14th and Washington. Crowning of queen. This was probably the second Cherry Festival, June 10-12, 1910. Bessie Best, the first queen, was crowning Mabel Furtado, who had been chosen in a very exciting contest.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5693/0,,,559,1910,11D825,17,00559,Vol. 14,"Cherry Festival, 1909",,,
00000560.pdf,"Frank Miller's Barber Shop, 1910",337.12 KB,"Frank Miller's Barber Shop, 1910",,Corner of E. 14th and Callan.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5694/0,,,560,1910,10D824,19,00560,Vol. 14,"Frank Miller's Barber Shop, 1910",,,
00000561.pdf,"Sheriff Geisenhofer, 1900",320.31 KB,"Sheriff Geisenhofer, 1900",,"Sheriff Geisenhofer, 1900.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5695/0,,,,1900,,,00561,Vol. 15,"Sheriff Geisenhofer, 1900",,,
00000562.pdf,"Washington Ave. and Williams St., ca 1930",378.22 KB,"Washington Ave. and Williams St., ca 1930",,"Washington Ave. and Williams St., ca 1930.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5696/0,,,562,1930,11E028,17,00562,Vol. 15,"Washington Ave. and Williams St., ca 1930",,,
00000563.pdf,"Larson Boy and Bicycle, 1910-20",266.41 KB,"Larson Boy and Bicycle, 1910-20",,Estudillo Ave.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5697/0,,,563,1900,13D724,28,00563,Vol. 15,"Larson Boy and Bicycle, 1910-20",,,
00000564.pdf,"Home of Robert H. Collins, ca 1920",272.26 KB,"Home of Robert H. Collins, ca 1920",,Mulford Gardens.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5698/0,,,564,1920,18C732,36,00564,Vol. 15,"Home of Robert H. Collins, ca 1920",,,
00000565.pdf,"Mulford Ranch, 1900",389.73 KB,"Mulford Ranch, 1900",,"Mulford Ranch, 1900.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5699/0,,,,1900,,,00565,Vol. 15,"Mulford Ranch, 1900",,,
00000566.pdf,"Captain Mulford and Family, 1900",363.69 KB,"Captain Mulford and Family, 1900",,"Captain Mulford and Family, 1900.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5700/0,,,,1900,,,00566,Vol. 15,"Captain Mulford and Family, 1900",,,
00000567.pdf,"San Leandro Sidewalk Days, ca 1957",600.23 KB,"San Leandro Sidewalk Days, ca 1957",,E. 14th St.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5701/0,,,,1957,,,00567,Vol. 15,"San Leandro Sidewalk Days, ca 1957",,,
00000568.pdf,"Haywards Avenue Looking North, 1903-06",408.90 KB,"Haywards Avenue Looking North, 1903-06",,"Odd Fellows Bldg., Olympia Bldg., Christenson Hotel.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5702/0,,,568,1903,10D824,11,00568,Vol. 15,"Haywards Avenue Looking North, 1903-06",,,
00000569.pdf,"Chris Christenson & Son Stanley, 1914",504.55 KB,"Chris Christenson & Son Stanley, 1914",,Vol. 15.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5703/0,,,569,1914,28D922,7,00569,Vol. 15,"Chris Christenson & Son Stanley, 1914",,,
00000570.pdf,"Lincoln Grammar School, 1922",279.55 KB,"Lincoln Grammar School, 1922",,"Lincoln Grammar School, 1922.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5704/0,,,,1922,,,00570,Vol. 15,"Lincoln Grammar School, 1922",,,
00000571.pdf,"State Bank, then Bank of America, E. 14th Street and Estudillo",288.83 KB,"State Bank, then Bank of America, E. 14th Street and Estudillo",,"State Bank, then Bank of America, E. 14th Street and Estudillo.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5705/0,,,,,,,00571,Vol. 15,"State Bank, then Bank of America, E. 14th Street and Estudillo",,,
00000572.pdf,"Washington School Crossing Guards, 1934",325.71 KB,"Washington School Crossing Guards, 1934",,"Washington School Crossing Guards, 1934.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5706/0,,,572,1934,24D718,36,00572,Vol. 15,"Washington School Crossing Guards, 1934",,,
00000573.pdf,"World's Fair, Treasure Island, May 8, 1940",355.20 KB,"World's Fair, Treasure Island, May 8, 1940",,"Jim Kennedy, Mark Dufarel (Mayor), Tony Oliveira, Joe Peralta (Police Chief), Watt Bruner (Judge).",Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5707/0,,,,1940,,,00573,Vol. 15,"World's Fair, Treasure Island, May 8, 1940",,,
00000574.pdf,"San Leandro Fire Department, Davis Street, 1929",320.19 KB,"San Leandro Fire Department, Davis Street, 1929",,"Chief Budd Eber, center, with white hat.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5708/0,,,,1929,,,00574,Vol. 15,"San Leandro Fire Department, Davis Street, 1929",,,
00000575.pdf,"Lincoln School, 1911",274.96 KB,"Lincoln School, 1911",,"Lincoln School, 1911.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5709/0,,,,1911,,,00575,Vol. 15,"Lincoln School, 1911",,,
00000576.pdf,"Plaza, 1900",305.04 KB,"Plaza, 1900",,"Plaza, 1900.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5710/0,,,576,1900,10D825,11,00576,Vol. 15,"Plaza, 1900",,,
00000577.pdf,"Shoe Shine Stand, E. 14th and Estudillo",372.91 KB,"Shoe Shine Stand, E. 14th and Estudillo",,"Jose Gomes, Mr. King, Geisenhofer, Joaquin Silva, William Escourse.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5711/0,,,,,,,00577,Vol. 15,"Shoe Shine Stand, E. 14th and Estudillo",,,
00000578.pdf,"First Grade Classroom, Lincoln School, 1890's",278.19 KB,"First Grade Classroom, Lincoln School, 1890's",,"Lincoln School was built in 1910, so either this is Union School or the date is wrong.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5712/0,,,,1910,,,00578,Vol. 15,"First Grade Classroom, Lincoln School, 1890's",,,
00000579.pdf,"Grocery Store, East 14th Street, 1905",280.34 KB,"Grocery Store, East 14th Street, 1905",,"This may have been earlier than 1905, judging from the clothing and the oil lamp. 1880 could be closer to the correct date.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5713/0,,,,1905,,,00579,Vol. 15,"Grocery Store, East 14th Street, 1905",,,
00000580.pdf,"Class Picture, Lincoln School, about 1930",310.52 KB,"Class Picture, Lincoln School, about 1930",,Note Mickey Mouse shirt at lower left.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5714/0,,,,1930,,,00580,Vol. 15,"Class Picture, Lincoln School, about 1930",,,
00000581.pdf,"Broadmoor Men's Club Dinner, 1939",411.26 KB,"Broadmoor Men's Club Dinner, 1939",,"Broadmoor Men's Club Dinner, 1939.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5715/0,,,,1939,,,00581,Vol. 15,"Broadmoor Men's Club Dinner, 1939",,,
00000582.pdf,"Intersection of Davis and E. 14th St., 1930",247.50 KB,"Intersection of Davis and E. 14th St., 1930",,"Intersection of Davis and E. 14th St., 1930.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5716/0,,,,1930,,,00582,Vol. 15,"Intersection of Davis and E. 14th St., 1930",,,
00000583.pdf,"Picnic at San Leandro Creek, 1918",443.84 KB,"Picnic at San Leandro Creek, 1918",,"Third from left: Mrs. Christensen and Olga. Far right: Chris Christensen, D.C. Moore and Harry Christensen. This was on property belonging to Landers and was located near the present site of Bancroft Jr. High. Galloway believes the date to be about 1898.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5717/0,,,583,1918,28D723,35,00583,Vol. 15,"Picnic at San Leandro Creek, 1918",,,
00000584.pdf,"San Leandro Float, 1915 panama Pacific Expo.",428.77 KB,"San Leandro Float, 1915 panama Pacific Expo.",,"San Francisco, 1915.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5718/0,,,,1915,,,00584,Vol. 15,"San Leandro Float, 1915 panama Pacific Expo. Sanfrancisco, 1915",,"San Leandro Float, 1915 panama Pacific Expo. Sanfrancisco, 1915",
00000585.pdf,"Building on the Corner of E. 14th and Joaquin Streets, San Leandro.",348.86 KB,"Building on the Corner of E. 14th and Joaquin Streets, San Leandro.",,The flags were in honor of the second Cherry Festival.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5719/0,,,585,1910,10D824,28,00585,Vol. 15,"Building on the Corner of E. 14th and Joaquin Streets, San Leandro.",,,
00000586.pdf,Lincoln School Students,375.61 KB,Lincoln School Students,,Lincoln School Students.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5720/0,,,,,,,00586,Vol. 15,Lincoln School Students,,,
00000587.pdf,"Backyard in Estudillo, San Leandro, with San Leandro Plumbing Co. Truck",252.80 KB,"Backyard in Estudillo, San Leandro, with San Leandro Plumbing Co. Truck",,"Backyard in Estudillo, San Leandro, with San Leandro Plumbing Co. Truck.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5721/0,,,,,,,00587,Vol. 15,"Backyard in Estudillo, San Leandro, with San Leandro Plumbing Co. Truck",,,
00000588.pdf,"Alta Mira Club, 1920",324.23 KB,"Alta Mira Club, 1920",,"East 14th Street and 150th Street. The Alta Mira Choral included Mrs. Edwin Duck, seventh from the left in the first row, and Mrs. Kintz, fourth from the left in the second row.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5722/0,,,,1920,,,00588,Vol. 15,"Ladies Club, 1920",,"Ladies Club, 1920",
00000589.pdf,"Caterpillar Tractor Co., 1935",389.27 KB,"Caterpillar Tractor Co., 1935","| Building, IndustrialRailroad DepotMenAutomobiles |","A Southern Pacific train leaves the Caterpillar Tractor plant and the San Lenadro station with a shipment of tractors. One of the three is Arthur Birchenall, who worked at Southern Pacific Depot for 47 years. His car is the Ford. The other two men are switchmen.",,1935,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5723/0,,,,1935,,,00589,Vol. 15,"Caterpillar Tractor Co., 1935",,,
00000590.pdf,"Retirement Dinner, 1958",464.39 KB,"Retirement Dinner, 1958",,"Retirement Dinner, 1958.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5724/0,,,,1958,,,00590,Vol. 15,"Retirement Dinner, 1958",,,
00000591.pdf,"Barber Shop, E. 14th Street, 1900",338.58 KB,"Barber Shop, E. 14th Street, 1900",,"Barber Shop, E. 14th Street, 1900.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5725/0,,,,1900,,,00591,Vol. 15,"Barber Shop, E. 14th Street, 1900",,,
00000592.pdf,"Sam Valhos Liquor Store, Washington Ave. Approximately 1929",375.26 KB,"Sam Valhos Liquor Store, Washington Ave. Approximately 1929",,"Sam Valhos Liquor Store, Washington Ave. Approximately 1929.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5726/0,,,,1929,,,00592,Vol. 15,"Sam Valhos Liquor Store, Washington Ave. Approximately 1929",,,
00000593.pdf,"San Leandro Plaza and Electric Railway, May 7, 1892",352.00 KB,"San Leandro Plaza and Electric Railway, May 7, 1892",,"San Leandro Plaza and Electric Railway, May 7, 1892.",Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5727/0,,,593,1892,10D824,11,00593,Vol. 15,"San Leandro Plaza and Electric Railway, May 7, 1892",,,
00000594.pdf,This Picture of the Plaza,308.86 KB,This Picture of the Plaza,,This Picture of the Plaza(?) was probably made after 1903 when the cannon was placed there.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5728/0,,,594,1900,10D824,11,00594,Vol. 15,This Picture of the Plaza(?) was probably made after 1903 when the cannon was placed there.,,,
00000595.pdf,"A 1966 Aerial View of San Leandro, North from Juana Ave., along E. 14th St., to Civic Center",506.93 KB,"A 1966 Aerial View of San Leandro, North from Juana Ave., along E. 14th St., to Civic Center",,"A 1966 Aerial View of San Leandro, North from Juana Ave., along E. 14th St., to Civic Center.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5729/0,,,595,1966,11D825,7,00595,Vol. 15,"A 1966 Aerial View of San Leandro, North from Juana Ave., along E. 14th St., to Civic Center",,,
00000596.pdf,"A 1962 Aerial View of San Leandro, East Northeast along the San Leandro Creek, from the Southern Pacific Railroad to the Hills",560.76 KB,"A 1962 Aerial View of San Leandro, East Northeast along the San Leandro Creek, from the Southern Pacific Railroad to the Hills",,"A 1962 Aerial View of San Leandro, East Northeast along the San Leandro Creek, from the Southern Pacific Railroad to the Hills.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5730/0,,,596,1962,12D524,7,00596,Vol. 15,"A 1962 Aerial View of San Leandro, East Northeast along the San Leandro Creek, from the Southern Pacific Railroad to the Hills",,,
00000597.pdf,"Odd Fellows Meeting at the I.O.O.F. Hall at 1252 E. 14th Street, 1930 CA",469.38 KB,"Odd Fellows Meeting at the I.O.O.F. Hall at 1252 E. 14th Street, 1930 CA",,"Odd Fellows Meeting at the I.O.O.F. Hall at 1252 E. 14th Street, 1930 CA.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5731/0,,,,1930,,,00597,Vol. 15,"Odd Fellows Meeting at the I.O.O.F. Hall at 1252 E. 14th Street, 1930 CA",,,
00000598.pdf,"Aerial View of San Leandro, Northeast, Intersection of Clarke and Parrott Streets, San Leandro Creek and hills in background",558.41 KB,"Aerial View of San Leandro, Northeast, Intersection of Clarke and Parrott Streets, San Leandro Creek and hills in background",,"Aerial View of San Leandro, Intersection of Clarke and Parrott Streets, San Leandro Creek and hills in background, Lucky Store, Pelton Center,.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5732/0,,,598,1966,21D727,7,00598,Vol. 15,"Aerial View of San Leandro, NNE from Clark and W. Juana to the Hills",,"Aerial View of San Leandro, NNE from Clark and W. Juana to the Hills",
00000599.pdf,"Cigar Stand Beside J. F. Silva Saloon, c. 1918",369.34 KB,"Cigar Stand Beside J. F. Silva Saloon, c. 1918",,Located at NW corner of Callan and E. 14th. Clerk Frank Matoza.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5733/0,,,599,1918,10D824,35,00599,Vol. 15,"Cigar Stand Beside J. F. Silva Saloon, c. 1918  ",,"Cigar Stand Beside J. F. Silva Saloon, c. 1918  ",
00000600.pdf,"Ground Breaking Ceremony for Library, Feb 18, 1959",437.48 KB,"Ground Breaking Ceremony for Library, Feb 18, 1959",,"5th from left: Jack Maltester, 7th from left: Henry J. Jones, 10th from left: Stephen D. Ewing (Library Director).",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5734/0,,,,1959,,,00600,Vol. 15,"Ground Breaking Ceremony for Library, Feb 18, 1959",,,
00000601.pdf,"Plaza, E. 14th St. and Estudillo, 1900",538.68 KB,"Plaza, E. 14th St. and Estudillo, 1900",,"Date may be between 1904 and 1909: after electric lights were installed, after wooden awnings were removed, but before the building of the Murphy Block.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5735/0,,,601,1900,10D824,10,00601,Vol. 16,"Plaza, E. 14th St. and Estudillo, 1900",,,
00000602.pdf,"Garcia and Martin and Callistro Garages, 240 Castro Street, Taken in 1925",307.81 KB,"Garcia and Martin and Callistro Garages, 240 Castro Street, Taken in 1925",,Washington Avenue is on the right.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5736/0,,,,1925,,,00602,Vol. 16,"Garcia and Martin and Callistro Garages, 240 Castro Street, Taken in 1925",,,
00000603.pdf,"Roosevelt-Garner Campaign Headquarters at 1426 E. 14th Street, 1936",421.25 KB,"Roosevelt-Garner Campaign Headquarters at 1426 E. 14th Street, 1936",,"Roosevelt-Garner Campaign Headquarters at 1426 E. 14th Street, 1936.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5737/0,,,,1936,,,00603,Vol. 16,"Roosevelt-Garner Campaign Headquarters at 1426 E. 14th Street, 1936",,,
00000604.pdf,"Horse Drawn Trolley Car on Castro Street, 1900 CA",246.04 KB,"Horse Drawn Trolley Car on Castro Street, 1900 CA",| horse | castro street | trolley |,"Horse Drawn Trolley Car on Castro Street, 1900 CA.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5738/0,,,,1900,,,00604,Vol. 16,"Horse Drawn Trolley Car on Castro Street, 1900 CA",,,
00000605.pdf,Biography of Dr. William T. Thrasher,298.00 KB,Biography of Dr. William T. Thrasher,,"Taken from the book by J. M. Guinn, ""History of the State of California and Biographical Record for Oakland and Environs"", published in 1907.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5739/0,,,,1907,,,00605,Vol. 16,Biography of Dr. William T. Thrasher taken from the book by J. M. Guinn,,Biography of Dr. William T. Thrasher taken from the book by J. M. Guinn,
00000606.pdf,Portrait of George W. Harlan,378.07 KB,Portrait of George W. Harlan,,"Taken from the book by J. M. Guinn, ""History of the State of California and Biographical Record of Coast Counties"", published in 1902. Picture taken about 1868.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5740/0,,,,1902,,,00606,Vol. 16,Portrait of George W. Harlan taken from the book by J. M. Guinn,,Portrait of George W. Harlan taken from the book by J. M. Guinn,
