resource_name,asset_name,file_size,title,subject,description,contributor,period_date,digital_format,url_for_file,geo_coord_UTM,verified_gps_coords,resource_number,year,geo_coord_original,paper_page_number,source_index,Index Number,Volume,Title,Notes,description2,address
00001591.pdf,Best Manufacturing Company about 1889-90,316.91 KB,Best Manufacturing Company about 1889-90,,"L-R, top row: 5th Mr. Adolph Wimmer (pattern maker), 19th Mr. Harding (carpenter dressed in white), 30th ""Brick"" (foundry), 31st Doug Toffelmeier. Second row: 1st W.S. Peters (from Albany Oregon, Bookkeeper), 4th Chas. Q. Rideout (carpenter), 6th Mr. Tom? Sturtevant, 10th Mr. Geo.? Sturtevant (brother of previous), 13th Willie Steinkamp, 14th Mr. Huffmaster, (foreman of foundry), 16th Zack Best?. Third row: (all seated) 15th Mr. Larson (blacksmith), 18th William Reid, Jr.",Stephen Nelson,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6718/0,"[-122.15238555711672, 37.72667756563068]",,1591,1889,D52512,27,S,01591,Vol. 40,Best Manufacturing Company about 1889-90,,,
00001598.pdf,"Best Manufacturing Company, probably in the Summer of 1898",475.54 KB,"Best Manufacturing Company, probably in the Summer of 1898",,"Bottom row (seated on ground) 11th, Otto Best (son of Zack Best), 17th may be a Best. Second row: 9th, Danny Best, son of Zack Best, 24th Daniel Best, 29th Mr. Harding, 31st ? Best (son of Nathaniel), 32nd Mr. Huffmaster, 34th Edward Whitcomb, 40th ""Brick"", 41st Mr. Larson, 43rd ""Dick"" Richards, 45th, William Reid (Sr.), 47th C.L. Best, 49th Mr. William Reid Jr., and 50th, Mr. Peralta. Third row: 23rd, Sam Best, son of Nathaniel, 32nd, Fourth row: 8th, Frank Best (hand in pocket), son of Nathaniel.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6725/0,"[-122.15136620185916, 37.7270993657784]",,1598,1898,D52512,26,S,01598,Vol. 40,"Best Manufacturing Company, probably in the Summer of 1898",,,
00001599.pdf,Best's Horseless Carriage,358.03 KB,Best's Horseless Carriage,,"L-R Pearl Best (wife of C.L. Best), Lota Richards (daughter of Zack Best), Beth Gray (Pearl's sister), ""Dick"" Richards, and Otto Best.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6726/0,"[-122.15176216101342, 37.72674369370527]",,1599,1898,D52512,25,S,01599,Vol. 40,Best's Horseless Carriage,,,
00001600.pdf,C. L. Best Driving a Recent Product of the Best Manufacturing Company of San Leandro,373.27 KB,C. L. Best Driving a Recent Product of the Best Manufacturing Company of San Leandro,,"In the photo are L-R (unknown), C.L. Best (driving), Lottie Best, George Flint's Aunt Mary and two other ladies.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6727/0,"[-122.15072335714392, 37.72713271993413]",,1600,1898,D52512,25,S,01600,Vol. 40,C. L. Best Driving a Recent Product of the Best Manufacturing Company of San Leandro,,,
00001601.pdf,"Best Horseless Carriage, 1898",346.67 KB,"Best Horseless Carriage, 1898",,"Clarence Leo Best is the driver and peeking around behind is Richard M. Lyman; in the second seat, left to right, is Mary Kurtz (George R. Flint's aunt) Helen Lyman (George R. Flint's aunt) and (Emma) Mrs. Edward P. Flint (George R. Flint's grandmother, in the rear seat Trowbridge daughter? Alice Flint (George R. Flint's aunt), Trowbridge daughter? Mrs. George Trowbridge (nee Emma Flint).",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6728/0,"[-122.15183672459297, 37.726683766168456]",,1601,1898,D52512,25,S,01601,Vol. 41,"Best Horseless Carriage, 1898",,,
00001610.pdf,Clarence Leo Best Taken about 1895-1900,263.61 KB,Clarence Leo Best Taken about 1895-1900,,Clarence Leo Best Taken about 1895-1900.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6737/0,"[-122.15117824304771, 37.726804390297126]",,1610,1895,D52512,27,S,01610,Vol. 41,Clarence Leo Best Taken about 1895-1900,,,
00000911.pdf,"View of Casa Peralta, taken in 1939",286.77 KB,"View of Casa Peralta, taken in 1939",,"View of Casa Peralta, taken in 1939.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6045/0,"[-122.15096855347261, 37.72463705942624]",,911,1939,D52713,5,S,00911,Vol. 23,"View of Casa Peralta, taken in 1939",,,
00000912.pdf,"View of Casa Peralta Courtyard, taken in 1939",476.89 KB,"View of Casa Peralta Courtyard, taken in 1939",,"View of Casa Peralta Courtyard, taken in 1939.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6046/0,"[-122.15260470384449, 37.72418439449118]",,912,1939,D52713,5,S,00912,Vol. 23,"View of Casa Peralta Courtyard, taken in 1939",,,
00001082.pdf,"Estudillo House in the 1860's, on corner of Washington and Davis on the Plaza,",398.05 KB,"Estudillo House in the 1860's, on corner of Washington and Davis on the Plaza,",,"Estudillo House in the 1860's, on corner of Washington and Davis on the Plaza, (until 1929).",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6215/0,"[-122.1516683850145, 37.72360546228546]",,1082,1860,D52713,6,S,01082,Vol. 28,"Estudillo House in the 1860's, on corner of Washington and Davis on the Plaza, (until 1929)",,,
00000109.pdf,"Andrade Home on Dutton Ave, ca 1918",117.77 KB,"Andrade Home on Dutton Ave, ca 1918","| Home, Andrade | Dutton Ave. | Andrade, Harry | Portaits, Men |",Harry Andrade.,Mrs. Margaret Andrade,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5246/0,"[-122.14994800076, 37.732363961296464]",,109,1918,D62024,18,S,00109,Vol. 3,"Andrade Home on Dutton Ave, ca 1918",,,
00000110.pdf,"Harry Andrade, 1900",472.42 KB,"Harry Andrade, 1900","| Andrade, Harry | Dutton Avenue | Trees, Eucalyptus | Portraits, Men |",Location: Dutton Ave. Bishop Taylor introduced Eucalyptus in 1850.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5247/0,"[-122.15022440737457, 37.73274244551047]",,110,1900,D62024,18,S,00110,Vol. 3,"Harry Andrade, 1900",,,
00000111.pdf,"Mrs. M. J. Andrade, 1915",264.35 KB,"Mrs. M. J. Andrade, 1915","| Andrade, Louise | Oakes, Louise | Dutton Avenue | Portaits, Women |",Mrs Andrade (Louise Oakes) taken in front of 315 Dutton Ave.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5248/0,"[-122.1501264270521, 37.732242694358746]",,111,1915,D62024,18,S,00111,Vol. 3,"Mrs. M. J. Andrade, 1915",,,
00000112.pdf,"Mrs. M. J. Andrade, 1915",329.42 KB,"Mrs. M. J. Andrade, 1915","| Andrade, Louise | Oakes, Louise | Dutton Avenue |",Mrs. (Louise Oakes) Andrede at 315 Dutton Ave.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5249/0,"[-122.1489630733061, 37.7328917865854]",,112,1915,D62024,18,S,00112,Vol. 3,"Mrs. M. J. Andrade, 1915",,,
00000113.pdf,"Andrade Home, 1897",468.76 KB,"Andrade Home, 1897","| Home, Andrade | Oakes, Louise | Andrade, Louise | Andrade, Harry | Portraits, Family |",Andrade Home built 1887 (now owned by Mrs. Kileen). Sylvia changed name to Oakes. Shown in picture are Harry Andrade and Mrs. Louise Oakes Andrade.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5250/0,"[-122.15045235633514, 37.733051588926024]",,113,1897,D62024,18,S,00113,Vol. 3,"Andrade Home, 1897",,,
00000116.pdf,Mrs. M. J.,479.20 KB,Mrs. M. J.,"| Portraits, Women | Andrade, Louise | Oakes, Louise |","Mrs. M.J. (Louise Oakes) Andrade, 1900.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5253/0,"[-122.15039339767623, 37.732762738276136]",,116,1900,D62024,18,S,00116,Vol. 3,"Mrs. M. J. (Louise Oakes) Andrade, 1900",,"Mrs. M. J. (Louise Oakes) Andrade, 1900",
00000550.pdf,"San Leandro Delivery Wagon, 1907",447.67 KB,"San Leandro Delivery Wagon, 1907",,"Corner of Oakes and E. 14th St. Manuel Andrade, Post Master; Frank Gonsalves, driver; Joseph Oakes, standing. Oakes was also a driver. This corner was the later location of San Leandro Hardware.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5684/0,"[-122.14963301299113, 37.731902681471226]",,550,1907,D62110,36,S,00550,Vol. 14,"San Leandro Delivery Wagon, 1907",,,
00001675.pdf,Jones Home?,393.99 KB,Jones Home?,,See 1685 - Residence of Henry Z. Jones.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6792/0,"[-122.14972851919633, 37.73189237288364]",,1675,1910,D62124,15,S,01675,Vol. 42,"Jones Home (?), See # 1685",,"Jones Home (?), See # 1685",
00001677.pdf,Jones Family?,338.80 KB,Jones Family?,,Jones Family?,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6794/0,"[-122.14968374071064, 37.73103143140975]",,1677,1910,D62124,18,S,01677,Vol. 42,Jones Family (?),,Jones Family (?),
00001679.pdf,Jones Family Automobile Outing,436.00 KB,Jones Family Automobile Outing,,"Abbie Jones, Henry Z. Jones, Jessie Jones, Mrs. Jones, Harrison Bidell.",Henry Jones,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6796/0,"[-122.15032434686958, 37.73162442897495]",,1679,1910,D62124,18,S,01679,Vol. 42,Jones Family Automobile Outing,,,
00001685.pdf,"Residence of Henry Z. Jones, 1916",255.52 KB,"Residence of Henry Z. Jones, 1916",,Harrison Bidell and Henry Jones.,Henry Jones,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6802/0,"[-122.14930488142511, 37.731598378077514]",,1685,1916,D62124,15,S,01685,Vol. 43,"Residence of Henry Z. Jones, 1916",,,
00001686.pdf,"Jones Family Automobile Outing, 1910",422.31 KB,"Jones Family Automobile Outing, 1910",,"Henry Jones, Collie Dog, Jumbo Dog, Florence Jones.",Henry Jones,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6803/0,"[-122.15019849952205, 37.73219984022292]",,1686,1910,D62124,18,S,01686,Vol. 43,"Jones Family Automobile Outing, 1910",,,
00001699.pdf,"Residence of Henry Z. Jones, 1910",441.01 KB,"Residence of Henry Z. Jones, 1910",,"Henry Jones, Wilhelm Schmidt, Jessie Ginn, Harrison Bidell, Roy Buck, Clarence Buck, Jessie Jones, Abbie Jones, Mrs. Jones.",Henry Jones,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6816/0,"[-122.14917776520386, 37.73142916541356]",,1699,1910,D62124,15,S,01699,Vol. 43,"Residence of Henry Z. Jones, 1910",,,
00001703.pdf,"Jones Residence, ca 1910",315.08 KB,"Jones Residence, ca 1910",,"Henry Jones, Wilhelm Schmidt, Jessie Ginn, Harrison Bidell, Roy Buck, Clarence Buck, Jessie Jones (in car), Abbie Jones (in car), Mrs. Jones (in car).",Henry Jones,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6819/0,"[-122.15060210024176, 37.731829155963105]",,1703,1910,D62124,15,S,01703,Vol. 43,"Jones Residence, ca 1910",,,
00001704.pdf,"Front Gate of Jones Residence, ca 1910",263.35 KB,"Front Gate of Jones Residence, ca 1910",,"Front Gate of Jones Residence, ca 1910.",Henry Jones,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6820/0,"[-122.14903425802893, 37.73141644161281]",,1704,1910,D62124,15,S,01704,Vol. 43,"Front Gate of Jones Residence, ca 1910",,,
00001705.pdf,"Front Drive of Jones Residence, looking toward E14th Street, ca 1910",351.00 KB,"Front Drive of Jones Residence, looking toward E14th Street, ca 1910",,"Front Drive of Jones Residence, looking toward E14th Street, ca 1910.",Henry Jones,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6821/0,"[-122.14949465552608, 37.73200697805639]",,1705,1910,D62124,15,S,01705,Vol. 43,"Front Drive of Jones Residence, looking toward E14th Street, ca 1910",,,
00001706.pdf,"Front Drive of Jones Residence, ca 1910",499.78 KB,"Front Drive of Jones Residence, ca 1910",,"Mrs. Jones (in car), Jessie Jones.",Henry Jones,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6822/0,"[-122.14916271783764, 37.73161318594423]",,1706,1910,D62124,15,S,01706,Vol. 43,"Front Drive of Jones Residence, ca 1910",,,
00001712.pdf,"Jones Residence, ca 1910",368.96 KB,"Jones Residence, ca 1910",,"Abbie Jones, Florence Jones, Jessie Jones, Harrison Bidell, Mrs. Jones, Henry Jones.",Henry Jones,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6828/0,"[-122.15013931256713, 37.73125019337292]",,1712,1910,D62124,15,S,01712,Vol. 43,"Jones Residence, ca 1910",,,
00001713.pdf,"Jones Residence, ca 1910",281.69 KB,"Jones Residence, ca 1910",,"Jones Residence, ca 1910.",Henry Jones,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6829/0,"[-122.1500409678723, 37.7309728268037]",,1713,1910,D62124,15,S,01713,Vol. 43,"Jones Residence, ca 1910",,,
00001715.pdf,"Jones Residence, ca 1910",347.75 KB,"Jones Residence, ca 1910",,"Gardener, Florence Jones, Jessie Jones, Harrison Bidell, Henry Jones Jr.",Henry Jones,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6831/0,"[-122.15036913636203, 37.73109812656087]",,1715,1910,D62124,15,S,01715,Vol. 43,"Jones Residence, ca 1910",,,
00001716.pdf,"Jones Residence, ca 1910",387.08 KB,"Jones Residence, ca 1910",,"Florence Jones, Abbie Jones, Harrison Bidell, Henry Jones, Mrs. Jones, Jessie Jones.",Henry Jones,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6832/0,"[-122.15053457258045, 37.73188160635265]",,1716,1910,D62124,15,S,01716,Vol. 43,"Jones Residence, ca 1910",,,
00001717.pdf,"Jones Residence, ca 1910",271.58 KB,"Jones Residence, ca 1910",,"Henry Jones, Wilhelm Schmidt, Jessie Ginn, Harrison Bidell, Roy Buck, Clarence Buck, Jessie Jones (in car), Abbie Jones (in car), Mrs. Jones (in car).",Henry Jones,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6833/0,"[-122.14953402625426, 37.73147553806797]",,1717,1910,D62124,15,S,01717,Vol. 43,"Jones Residence, ca 1910",,,
00001718.pdf,"Driveway of Jones Residence, ca 1910",362.73 KB,"Driveway of Jones Residence, ca 1910",,"Driveway of Jones Residence, ca 1910.",Henry Jones,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6834/0,"[-122.14980163328397, 37.732074676076664]",,1718,1910,D62124,15,S,01718,Vol. 43,"Driveway of Jones Residence, ca 1910",,,
00001721.pdf,"Jones Electric Car, ca 1910",345.78 KB,"Jones Electric Car, ca 1910",,Studebaker Electric. Mrs. Jones.,Henry Jones,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6837/0,"[-122.15009759446315, 37.73184809965339]",,1721,1910,D62124,12,S,01721,Vol. 44,"Jones Electric Car, ca 1910",,,
00001723.pdf,"Jones Residence, ca 1910",243.48 KB,"Jones Residence, ca 1910",,"Harrison Bidell, Henry Z. Jones, Henry Jones, Jumbo Dog, Dog, Mrs. Jones, Jessie Jones.",Henry Jones,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6839/0,"[-122.14906189390533, 37.731066824075135]",,1723,1910,D62124,15,S,01723,Vol. 44,"Jones Residence, ca 1910",,,
00001725.pdf,"Jones Residence, Gate and Car, ca 1910",396.94 KB,"Jones Residence, Gate and Car, ca 1910",,"Jessie Jones, Florence Jones.",Henry Jones,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6841/0,"[-122.14939120844289, 37.73215785447215]",,1725,1910,D62124,15,S,01725,Vol. 44,"Jones Residence, Gate and Car, ca 1910",,,
00001741.pdf,Miss Emma C. C. Herrscher,475.28 KB,Miss Emma C. C. Herrscher,,"Photo published in San Leandro Standard, August 13, 1914.",Madeline Enos Martin,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6856/0,"[-122.14943536374702, 37.731418666202686]",,1741,1910,D62124,15,S,01741,Vol. 44,"Miss Emma C. C. Herrscher. Photo published in San Leandro Standard, August 13, 1914",,"Miss Emma C. C. Herrscher. Photo published in San Leandro Standard, August 13, 1914",
00000902.pdf,Freeman Home,520.43 KB,Freeman Home,,"34 Oakes Blvd., San Leandro.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6036/0,"[-122.150489833045, 37.731401369625274]","[-122.159193,37.730716]",902,,D62131,41,D,00902,Vol. 23,Freeman Home,,,34 Oakes Blvd
00000506.pdf,"San Leandro Police Department, 1945",468.05 KB,"San Leandro Police Department, 1945","| Law Enforcement | Portraits, Group | Bretschneider, Cecile | Mellor, Calvin | Davina, Sam | Silva, Jack | Lamoureux, Art | Peralta, Joe | Poulsen, Andres | Cannizzaro, John | MacCallum, Ray | Tiffin, Alice | Ashman, Jack | Lagormarsino, Steve | Arbini, Ambrose | Werner, Ted | Motta, Ed | DiPaola, Les | Cano, Tony | Voluntine, Jack | Capitola, Selo | Gomez, Tony | Rose, Harry | O'Neill, Bernard | Bretschneider, Herb | Haller, Fred |","Bottom Row, L to R: Cecile Bretschneider, Calvin Mellor, Sam Davina, Jack Silva, Art Lamoureux (Capt.), Joe Peralta (Chief), Andres Poulsen (Lt.), John Cannizzaro, Ray MacCallum, Alice Tiffin. Second row: Jack Ashman, Steve Lagormarsino (Sgt.), Ambrose Arbini, Ted Werner, Ed Motta, Les DiPaola, Tony Cano, Jack Voluntine, Selo Capitola, Tony Gomes. Back row: Harry Rose, Bernard O'Neill, Herb Bretschneider, Fred Haller.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5640/0,"[-122.14921484603059, 37.730255311298265]",,506,1945,D62210,10,S,00506,Vol. 13,"San Leandro Police Dept., 1945",,"San Leandro Police Dept., 1945",
00000874.pdf,"Benjamin F. Mason Home, Aug. 1939",482.31 KB,"Benjamin F. Mason Home, Aug. 1939",,Where City Hall now stands.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6008/0,"[-122.14898808776374, 37.72921813786509]",,874,1938,D62310,16,S,00874,Vol. 22,"Benjamin F. Mason Home, Aug. 1939",,,
00001239.pdf,"Home of Benjamin F. Mason, May 1, 1939",221.45 KB,"Home of Benjamin F. Mason, May 1, 1939",,"Home of Benjamin F. Mason, May 1, 1939.",Freeman,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6372/0,"[-122.14933633909453, 37.72871842657614]",,1239,1939,D62310,16,S,01239,Vol. 31,"Home of Benjamin F. Mason, May 1, 1939",,,
00001265.pdf,Catholic Church Diamond Jubilee,299.66 KB,Catholic Church Diamond Jubilee,,Two ladies are descendants of Joaquin Estudillo.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6397/0,"[-122.14897098251622, 37.728558117088035]",,1265,1938,D62323,36,S,01265,Vol. 32,Catholic Church Diamond Jubilee,,,
00001380.pdf,Sarah,312.38 KB,Sarah,,Davis St. next to St. Joseph's Hall. Dog is Pansey.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6508/0,"[-122.14943986616522, 37.72818446575514]",,1380,1902,D62412,22,S,01380,Vol. 35,"Sarah (Webber) McCoy, 1902 or ' 03",,"Sarah (Webber) McCoy, 1902 or ' 03",
00001381.pdf,"Back of Webber House, 1909 or 1910",400.87 KB,"Back of Webber House, 1909 or 1910",,"Back of Webber House, 1909 or 1910.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6509/0,"[-122.15042550556561, 37.72743062822702]",,1381,1902,D62412,22,S,01381,Vol. 35,"Back of Webber House, 1909 or ' 10",,"Back of Webber House, 1909 or ' 10",
00001382.pdf,"Joe Hearst, 1909 or 1910",322.26 KB,"Joe Hearst, 1909 or 1910",,"Joe Hearst, 1909 or 1910.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6510/0,"[-122.14878669905814, 37.72748059778714]",,1382,1902,D62412,22,S,01382,Vol. 35,"Joe Hearst, 1909 or ' 10",,"Joe Hearst, 1909 or ' 10",
00001383.pdf,"Alzina Dumont, 1909 or 1910",298.82 KB,"Alzina Dumont, 1909 or 1910",,"Alzina Dumont, 1909 or 1910.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6511/0,"[-122.14917877342455, 37.727929446898564]",,1383,1902,D62412,22,S,01383,Vol. 35,"Alzina Dumont, 1909 or ' 10",,"Alzina Dumont, 1909 or ' 10",
00001384.pdf,"Jeanette Stanley as a baby, 1909 or 1910",288.24 KB,"Jeanette Stanley as a baby, 1909 or 1910",,"Jeanette Stanley as a baby, 1909 or 1910.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6512/0,"[-122.1499889923048, 37.72831256062681]",,1384,1902,D62412,22,S,01384,Vol. 35,"Jeanette Stanley, 1909 or ' 10",,"Jeanette Stanley, 1909 or ' 10",
00000537.pdf,"Cherry Carnival Float, 1909",352.38 KB,"Cherry Carnival Float, 1909",,"Clarke St. between Davis and Ward. Paul Leal, John Miller.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5671/0,"[-122.15028046986306, 37.727227594493826]",,537,1909,D62414,33,S,00537,Vol. 14,"Cherry Carnival Float, 1909",,,
00001317.pdf,"San Lorenzo Cemetary Documents, March 3, 1874",258.75 KB,"San Lorenzo Cemetary Documents, March 3, 1874",,"San Lorenzo Cemetary Documents, March 3, 1874.",Hafner,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6448/0,"[-122.14899114054553, 37.727110879332464]",,1317,1874,D62500,4,S,01317,Vol. 33,"San Lorenzo Cemetary Documents, March 3, 1874",,,
00000413.pdf,"Jones Residence, 1940",499.63 KB,"Jones Residence, 1940",| Jones Residence | Homes | Hawes Residence |,Could be the Hawes place. Lucky Store site.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5547/0,"[-122.14992904851617, 37.726905901061166]",,413,1940,D62510,15,S,00413,Vol. 11,"Jones Residence, 1940(?)",,"Jones Residence, 1940(?)",
00000029.pdf,"San Leandro Boys Club Band, 1916",425.03 KB,"San Leandro Boys Club Band, 1916","| San Leandro Boys Club Band | Portraits, Group |","The San Leandro Boys Club Band poses in marching formation during a parade. The club was organized on May 14th, with 60 original members. The boys participated in a gymnasium program and formed a band. Instruments were donated by the community. Photograph taken 1916.",A. Galvan,1916,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5166/0,"[-122.14874684488593, 37.726574501920844]",,29,1916,D62512,30,S,00029,Vol. 1,"San Leandro Boys Club Band, 1916",,,
00000263.pdf,"St. Mary's 7th Grade Report Card for Mary Rose, June 1905",509.52 KB,"St. Mary's 7th Grade Report Card for Mary Rose, June 1905","| St. Mary's Convent School | Report Card | Education, Secondary | Rose, Mary |","St. Mary's 7th Grade Report Card for Mary Rose, June 1905.",A. Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5397/0,"[-122.14896808655725, 37.72603445781538]",,263,1905,D62512,3,S,00263,Vol. 7,"St. Mary's 7th Grade Report Card for Mary Rose, June 1905",,,
00001874.pdf,"Cherry Carnival Float, 1911. St. Mary's Convent in background.",363.65 KB,"Cherry Carnival Float, 1911. St. Mary's Convent in background.",,"Mrs. Mal Madaria driving horses, Mrs. Helen Oakee is the Queen.",Gladys Keller,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6987/0,"[-122.14908252728223, 37.727139530085196]",,1874,1911,D62512,33,S,01874,Vol. 47,"Cherry Carnival Float-1911. St. Mary's Convent in background. Mrs. Mal Madaria driving horses, Mrs. Helen Oakee-Queen",,"Cherry Carnival Float-1911. St. Mary's Convent in background. Mrs. Mal Madaria driving horses, Mrs. Helen Oakee-Queen",
00001223.pdf,Mrs. Sadie Codner,341.26 KB,Mrs. Sadie Codner,,The Codners owned the rest home from sometime in the 1930's until about 1957; Mrs. Codner tended the garden on the grounds and painted pictures as well.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6356/0,"[-122.14936089700477, 37.726621348187216]",,1223,1940,D62513,31,S,01223,Vol. 31,"Mrs. Sadie Codner (Mrs. Paul Codner), standing on front steps of Casa Peralta Rest Home in the 1940's",,"Mrs. Sadie Codner (Mrs. Paul Codner), standing on front steps of Casa Peralta Rest Home in the 1940's",
00001231.pdf,"Diamond Jubilee Barbeque, 1939",187.69 KB,"Diamond Jubilee Barbeque, 1939",,"Andy Paulson (Police Chief), S.L. Polieman, Judge Watt Bruener, Ray Billings (City Manager), Jim Groues (Councilman), Geo Husbmay Lawrence.",Freeman,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6364/0,"[-122.15036194028502, 37.72635232549779]",,1231,1939,D62513,36,S,01231,Vol. 31,"Diamond Jubilee Barbeque, 1939",,,
00001242.pdf,Casa Peralta,206.55 KB,Casa Peralta,,Casa Peralta.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6375/0,"[-122.1503562007594, 37.72606592212614]",,1242,1939,D62513,5,S,01242,Vol. 32,Casa Peralta   ,,Casa Peralta   ,
00000233.pdf,"First Masonic Temple Club, 1966",445.54 KB,"First Masonic Temple Club, 1966","| Masonic Temple Club | Street, W. Estudillo | Street, Clark | Automobiles and Trucks |",About 1320 Clark St. near W. Estudillo.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5368/0,"[-122.1492156860187, 37.72717164807581]","[-122.15794, 37.72351]",233,1966,D62514,1,D,00233,Vol. 6,"First Mesonic Temple Club, 1966",,"First Mesonic Temple Club, 1966",
00000522.pdf,"San Leandro Brass Band, County Courthouse, 1866.",401.91 KB,"San Leandro Brass Band, County Courthouse, 1866.",,"Taken on the steps of the Alameda County Courthouse in San Leandro. Man in center with coronet and baggy light trousers was organizer and teacher, L.J. Bullard (graduate of Yale, first public school teacher, married Gof. Purdy's daughter). Man L front is Sheriff Morse (who apprehended Joaquin Murietta); continuing from left to right, Jerome Moore (brother of A.A. Moore, a lawyer who resigned from band to practice in Nevada); Alfred Grand, (brother of W.W. Crane, lawyer and judge in Oakland); J.M. Costigan, and early conductor on a local steam train; George B. Standeford, editor of the Alameda County Gazette; L.J. Bullard; Undersheriff Peter R. Borein, deputy County Clerk; J.W. Josselyn Deputy County Clerk for Socrates Huff in the County Treasurers Office (later killed in 1868 earthquake when a courthouse pillar fell on him); and George Chase, whose family built one of the first houses in Oakland.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5656/0,"[-122.14985064673749, 37.72653297325518]",,522,1865,D62514,30,S,00522,Vol. 14,"Brass Band, 1866",There are better quality prints of this photo. Desc should mention Harry Morse.,"Brass Band, 1866",
00000607.pdf,The Royal Carriage,355.71 KB,The Royal Carriage,,"L-R: Driver, unidentified (bending over), Cherry Court Chamberlain W.J. Locke (?), Queen Bessie Best, and Ladie-in-waiting Miss Mabel Furtado and Miss Alice Locke.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5741/0,"[-122.14917155769889, 37.72607688162322]",,607,1909,D62514,35,S,00607,Vol. 16,"The Royal Carriage (automotive) of the Queen of the first Cherry Festival, Bessie Best, taken in driveway of Daniel Best Home, June 4-5, 1909",,"The Royal Carriage (automotive) of the Queen of the first Cherry Festival, Bessie Best, taken in driveway of Daniel Best Home, June 4-5, 1909",
